total_confirmed,total_deceased,total_recovered,total_tested,population
82044,3014,31493,569380,63864405
24206,559,517,16268,2862427
62051,2048,517,16268,43053054
0,0,517,16268,55312
5383,75,517,16268,77142
12335,303,517,16268,31825295
3,0,517,16268,16086
266,5,517,16268,4400
131,3,517,16268,97118
3634222,114419,281765,7288280,103497661
107466,1580,517,16268,2957731
4600,40,517,16268,106314
55326,1816,25778,18224654,48777799
312182,2789,95144,4931760,17717550
65411,840,517,16268,10023318
6947,152,517,16268,389482
83456,329,517,1833427,1641172
1023297,6427,37741,3600306,346120769
242,7,517,16268,287025
106279,1007,517,2573132,9466856
993096,13110,6204,10422927,22911038
4176,70,517,16268,390353
2745,43,517,16268,11801151
209,9,517,16268,63918
359,0,517,16268,763092
144869,8840,5170,481868,21730950
62423,1510,517,16268,3301000
7835,27,517,16268,2303697
266,5,517,16268,0
18016296,538973,7958510,97766261,663584270
266,5,517,16268,4000
72,1,517,16268,30030
148,3,517,16268,433285
75160,1665,517,793277,7000039
2569,67,517,16268,20321378
614,1,517,16268,11530580
297,0,517,16268,16486542
22421,433,517,16268,25876380
793398,31600,477561,21367022,75654544
9369,100,517,16268,549935
154,3,517,16268,25019
250,1,517,16268,64948
4879,62,517,16268,4745185
1547,99,517,16268,15946876
1554738,44196,232100,10189443,52722009
178493,9382,168079,160504308,2731364503
266,5,517,16268,1843
266,5,517,16268,596
3438570,108201,3127684,23029721,153072328
563,7,517,16268,850886
0,0,517,16268,17434
118225,1499,4136,356182,5486440
67247,794,517,559016,4076246
11819,215,9306,1186188,20462418
1097,2,517,16268,157538
5987,28,517,503927,875899
1217684,12102,645987,4064502,30684046
24822,465,16027,504308,130654504
55121,743,517,5569081,5806081
5608,61,517,16268,973560
42,0,517,16268,71808
138694,2425,17061,1136942,14577883
30,0,517,16268,1293119
181291,12950,12925,903009,32077747
109201,6368,517,16268,100388073
38869,1084,7755,705975,13782568
5092,85,517,16268,1355986
491,0,517,16268,3497000
6125,75,517,280693,1324820
99675,1523,517,1526221,112078730
13,0,517,16268,4550
497,0,517,16268,48678
34,2,517,13535,889953
17887,362,517,1619634,5517919
5009259,83273,49341607,52428618,192202257
10704,70,517,16268,268700
9995,39,517,16268,279287
